"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","RT @SamPancher: “Eu não sabia nem o que era o SUS” - Ministro da Saúde Eduardo Pazuello https://t.co/RwN1SaQirm",FALSE,0,NA,2020-10-07 20:16:02,FALSE,NA,"1313936141473796096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JadeChristinne",514,TRUE,FALSE,NA,NA
"65","""Ministro da saúde"" exaltando o SUS? Em breve já vai ser atualizado na lista de comunistas. https://t.co/iX0KQqNmUA",FALSE,0,NA,2020-10-07 20:15:59,FALSE,NA,"1313936128106475521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IMORTAL03",0,FALSE,FALSE,NA,NA
"66","RT @Smpcerta: Valorizem os médicos, defenda o SUS ,salve vidas
Fiquem em casa a pandemia nao acabou hipócritas #SobPressaoPlantaoCovid http…",FALSE,0,NA,2020-10-07 20:15:51,FALSE,NA,"1313936095365730304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psiGracaSouza",78,TRUE,FALSE,NA,NA
"67","RT @BrazilFight: URGENTE - TOFFOLI MANDA SOLTAR PRESOS DO COVIDÃO DO PARÁ
O ""amigo do amigo do meu pai"" mandou soltar auxiliares do governo…",FALSE,0,NA,2020-10-07 20:15:51,FALSE,NA,"1313936095101452293",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdnaForesti",175,TRUE,FALSE,NA,NA
"68","o ministro da saúde que não conhece o sus e faz o sus parecer um programa que brotou do nada e não algo que é garan… https://t.co/3lC37KPTLk",FALSE,0,NA,2020-10-07 20:15:51,TRUE,NA,"1313936094745034753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hussfo_",0,FALSE,FALSE,NA,NA
"69","Vi algumas pessoas falando sobre o Ministro da saúde falar que não conhecia o SUS.
Vindo de um Governo onde o minis… https://t.co/2d7fuPp08y",FALSE,9,NA,2020-10-07 20:15:49,TRUE,NA,"1313936086012497920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrSMalacheia",2,FALSE,FALSE,NA,NA
"70","RT @SamPancher: “Eu não sabia nem o que era o SUS” - Ministro da Saúde Eduardo Pazuello https://t.co/RwN1SaQirm",FALSE,0,NA,2020-10-07 20:15:48,FALSE,NA,"1313936082371784705",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Fernand72197030",514,TRUE,FALSE,NA,NA
"71","RT @HaddadDebochado: Ministro da Saúde: “Eu nem sabia o que era o SUS”.

<U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644>",FALSE,0,NA,2020-10-07 20:15:47,FALSE,NA,"1313936076524924930",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Horaynever",78,TRUE,FALSE,NA,NA
"72","Tweet de Ivan novitch (@Ivanovi99156186) Ivan novitch (@Ivanovi99156186) tweetou: Fala pra ele a verdade, fala do a… https://t.co/kNDYLd2vMQ",FALSE,1,NA,2020-10-07 20:15:44,TRUE,NA,"1313936066764853258",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ivanovi99156186",1,FALSE,FALSE,NA,NA
"73","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:15:43,FALSE,NA,"1313936062365007874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itslylica_",1815,TRUE,FALSE,NA,NA
"74","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:15:43,FALSE,NA,"1313936061060599808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camillakunrath",1815,TRUE,FALSE,NA,NA
"75","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:15:36,FALSE,NA,"1313936030500827136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buryxsam",2373,TRUE,FALSE,NA,NA
"76","@naosouarutinha Água e alimentos inspecionados pelo SUS?",FALSE,1,"naosouarutinha",2020-10-07 20:15:34,FALSE,"1313932771702853632","1313936025232834561","735677804096917504","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Filiperarte",0,FALSE,FALSE,NA,NA
